deal_id,company,rep,category,status,value,close_date,month,quarter,month_name
DL-00138,Company_0200,Priya N.,Software,Won,508.13,2024-05-12,5,2,May
DL-00139,Company_0004,Sarah K.,Hardware,Won,609.625,2024-12-20,12,4,Dec
DL-00140,Company_0210,Sarah K.,Hardware,Lost,657.21,2024-12-17,12,4,Dec
DL-00141,Company_0028,James L.,Hardware,Won,369.21,2024-04-01,4,2,Apr
DL-00142,Company_0189,Sarah K.,Services,Open,417.64,2024-06-30,6,2,Jun
DL-00143,Company_0187,Dana W.,Software,Won,1845.23,2024-04-19,4,2,Apr
DL-00144,Company_0766,Marcus T.,Services,Open,434.47,2024-04-13,4,2,Apr
DL-00145,Company_0149,Sarah K.,Software,Won,162.48,2024-01-14,1,1,Jan
DL-00146,Company_0524,Priya N.,Services,Open,2817.66,2024-08-10,8,3,Aug
DL-00147,Company_0365,Priya N.,Services,Lost,1997.86,2024-07-02,7,3,Jul
DL-00148,Company_0156,Dana W.,Services,Lost,1692.14,2024-01-19,1,1,Jan
DL-00149,Company_0079,James L.,Services,Won,2755.4,2024-04-11,4,2,Apr
DL-00150,Company_0272,Marcus T.,Hardware,Lost,2001.54,2024-11-27,11,4,Nov
DL-00151,Company_0659,Priya N.,Hardware,Won,467.66,2024-03-28,3,1,Mar
DL-00152,Company_0717,James L.,Services,Lost,453.07,2024-02-22,2,1,Feb
DL-00153,Company_0625,Marcus T.,Hardware,Lost,296.16,2024-06-27,6,2,Jun
DL-00154,Company_0517,Sarah K.,Software,Won,3629.03,2024-12-25,12,4,Dec
DL-00155,Company_0789,Sarah K.,Hardware,Won,2696.34,2024-03-29,3,1,Mar
DL-00156,Company_0231,Marcus T.,Services,Won,62661.18,2024-09-02,9,3,Sep
DL-00157,Company_0648,James L.,Unknown,Open,332.0,2024-10-04,10,4,Oct
DL-00158,Company_0159,Unassigned,Services,Won,491.67,2024-03-27,3,1,Mar
DL-00159,Company_0343,Marcus T.,Services,Open,394.61,2024-09-22,9,3,Sep
DL-00160,Company_0288,James L.,Software,Lost,241.7,2024-05-14,5,2,May
DL-00161,Company_0204,Sarah K.,Software,Open,1552.89,2024-08-18,8,3,Aug
DL-00162,Company_0304,Priya N.,Software,Won,264.52,2024-08-19,8,3,Aug
DL-00163,Company_0359,James L.,Services,Won,2439.59,2024-07-14,7,3,Jul
DL-00164,Company_0669,Marcus T.,Software,Lost,486.73,2024-02-02,2,1,Feb
DL-00165,Company_0399,Sarah K.,Software,Lost,422.63,2024-10-31,10,4,Oct
DL-00166,Company_0448,Marcus T.,Software,Won,2374.58,2024-04-27,4,2,Apr
DL-00167,Company_0105,Priya N.,Software,Won,1895.79,2024-03-09,3,1,Mar
DL-00168,Company_0081,Marcus T.,Support,Won,609.625,2024-01-15,1,1,Jan
DL-00169,Company_0341,Sarah K.,Services,Won,341.13,2024-08-03,8,3,Aug
DL-00170,Company_0781,Sarah K.,Support,Lost,3270.87,2024-09-04,9,3,Sep
DL-00171,Company_0420,Priya N.,Services,Lost,358.19,2024-01-07,1,1,Jan
DL-00172,Company_0048,Marcus T.,Hardware,Won,2065.09,2024-07-05,7,3,Jul
DL-00173,Company_0205,James L.,Services,Won,489.07,2024-03-23,3,1,Mar
DL-00174,Company_0217,Priya N.,Services,Won,549.47,2024-08-23,8,3,Aug
DL-00175,Company_0675,Priya N.,Services,Lost,329.87,2024-03-04,3,1,Mar
DL-00176,Company_0435,Dana W.,Software,Lost,526.98,2024-09-09,9,3,Sep
DL-00177,Company_0790,Unassigned,Services,Won,2449.5,2024-05-21,5,2,May
DL-00178,Company_0321,Sarah K.,Support,Won,2560.13,2024-12-07,12,4,Dec
DL-00179,Company_0230,Priya N.,Hardware,Won,596.21,2024-02-20,2,1,Feb
DL-00180,Company_0710,Sarah K.,Services,Open,3284.57,2024-05-04,5,2,May
DL-00181,Company_0486,Priya N.,Support,Lost,424.39,2024-02-11,2,1,Feb
DL-00182,Company_0428,Dana W.,Support,Won,1566.38,2024-12-03,12,4,Dec
DL-00183,Company_0725,James L.,Services,Won,2045.83,2024-11-16,11,4,Nov
DL-00184,Company_0283,Priya N.,Hardware,Open,2384.7,2024-04-04,4,2,Apr
DL-00185,Company_0485,James L.,Software,Lost,650.35,2024-08-28,8,3,Aug
DL-00186,Company_0275,Sarah K.,Software,Won,1361.32,2024-10-25,10,4,Oct
DL-00187,Company_0432,Marcus T.,Software,Won,575.07,2024-07-21,7,3,Jul
DL-00188,Company_0184,Marcus T.,Hardware,Lost,2307.95,2024-07-12,7,3,Jul
DL-00189,Company_0721,Marcus T.,Software,Won,628.11,2024-03-29,3,1,Mar
DL-00190,Company_0632,Sarah K.,Software,Won,2138.8,2024-02-03,2,1,Feb
DL-00191,Company_0215,James L.,Software,Open,295.74,2024-11-23,11,4,Nov
DL-00192,Company_0096,James L.,Software,Open,579.03,2024-11-24,11,4,Nov
DL-00193,Company_0118,Priya N.,Services,Open,2592.66,2024-08-19,8,3,Aug
DL-00194,Company_0364,Sarah K.,Software,Won,207.22,2024-05-03,5,2,May
DL-00195,Company_0793,Marcus T.,Services,Won,341.4,2024-05-07,5,2,May
DL-00196,Company_0402,Dana W.,Software,Won,423.04,2024-09-21,9,3,Sep
DL-00197,Company_0617,Priya N.,Software,Open,591.07,2024-11-23,11,4,Nov
DL-00198,Company_0396,Priya N.,Hardware,Lost,2691.62,2024-11-19,11,4,Nov
DL-00199,Company_0457,Dana W.,Support,Open,95743.6,2024-10-11,10,4,Oct
DL-00200,Company_0317,Priya N.,Services,Open,1620.53,2024-08-22,8,3,Aug
DL-00201,Company_0381,Priya N.,Software,Lost,1876.86,2024-01-31,1,1,Jan
DL-00202,Company_0141,Marcus T.,Support,Won,452.95,2024-02-28,2,1,Feb
DL-00203,Company_0456,Marcus T.,Services,Won,1310.21,2024-11-23,11,4,Nov
DL-00204,Company_0500,Priya N.,Hardware,Won,97496.36,2024-08-09,8,3,Aug
DL-00205,Company_0322,Marcus T.,Services,Won,289.89,2024-01-04,1,1,Jan
DL-00206,Company_0267,Priya N.,Software,Won,570.43,2024-02-07,2,1,Feb
DL-00207,Company_0486,Sarah K.,Services,Lost,100575.49,2024-08-30,8,3,Aug
DL-00208,Company_0678,Sarah K.,Services,Won,1223.8,2024-01-02,1,1,Jan
DL-00209,Company_0159,Marcus T.,Services,Lost,3413.55,2024-02-28,2,1,Feb
DL-00210,Company_0742,Sarah K.,Software,Open,264.39,2024-07-19,7,3,Jul
DL-00211,Company_0013,James L.,Hardware,Won,609.625,2024-09-09,9,3,Sep
DL-00212,Company_0704,Marcus T.,Software,Won,2363.45,2024-08-25,8,3,Aug
DL-00213,Company_0154,Priya N.,Services,Won,2450.48,2024-03-22,3,1,Mar
DL-00214,Company_0100,Sarah K.,Services,Won,412.09,2024-09-16,9,3,Sep
DL-00215,Company_0571,Sarah K.,Services,Lost,377.48,2024-03-27,3,1,Mar
DL-00216,Company_0042,Marcus T.,Software,Lost,2855.26,2024-04-28,4,2,Apr
DL-00217,Company_0192,Dana W.,Services,Lost,421.78,2024-09-29,9,3,Sep
DL-00218,Company_0310,Marcus T.,Software,Won,1398.48,2024-08-25,8,3,Aug
DL-00219,Company_0620,James L.,Services,Won,2634.48,2024-11-05,11,4,Nov
DL-00220,Company_0604,Sarah K.,Software,Lost,564.9,2024-08-28,8,3,Aug
DL-00221,Company_0727,Sarah K.,Support,Won,366.28,2024-07-26,7,3,Jul
DL-00222,Company_0464,James L.,Support,Won,609.625,2024-02-04,2,1,Feb
DL-00223,Company_0162,Priya N.,Hardware,Open,2619.35,2024-05-14,5,2,May
DL-00224,Company_0350,Marcus T.,Support,Won,300.16,2024-04-06,4,2,Apr
DL-00225,Company_0233,Sarah K.,Software,Open,83428.18,2024-03-30,3,1,Mar
DL-00226,Company_0402,Sarah K.,Support,Won,382.24,2024-12-21,12,4,Dec
DL-00227,Company_0350,Marcus T.,Software,Won,605.17,2024-05-23,5,2,May
DL-00228,Company_0166,James L.,Services,Won,539.56,2024-11-21,11,4,Nov
DL-00229,Company_0147,Sarah K.,Software,Open,69466.12,2024-08-18,8,3,Aug
DL-00230,Company_0027,Dana W.,Support,Open,485.87,2024-10-17,10,4,Oct
DL-00231,Company_0258,Sarah K.,Services,Won,352.81,2024-07-02,7,3,Jul
DL-00232,Company_0597,Priya N.,Services,Open,609.625,2024-07-29,7,3,Jul
DL-00233,Company_0619,Sarah K.,Support,Won,356.63,2024-06-28,6,2,Jun
DL-00234,Company_0441,Marcus T.,Services,Won,491.97,2024-03-12,3,1,Mar
DL-00235,Company_0628,Sarah K.,Services,Won,571.96,2024-09-20,9,3,Sep
DL-00236,Company_0526,Sarah K.,Software,Won,1469.86,2024-04-12,4,2,Apr
DL-00237,Company_0210,Dana W.,Hardware,Won,510.63,2024-01-09,1,1,Jan
DL-00238,Company_0542,Priya N.,Support,Won,510.76,2024-08-23,8,3,Aug
DL-00239,Company_0444,Priya N.,Support,Open,466.15,2024-03-05,3,1,Mar
DL-00240,Company_0793,Sarah K.,Software,Lost,3144.24,2024-12-09,12,4,Dec
DL-00241,Company_0452,Dana W.,Software,Open,604.12,2024-12-14,12,4,Dec
DL-00242,Company_0696,Marcus T.,Software,Lost,1302.3,2024-11-29,11,4,Nov
DL-00243,Company_0403,James L.,Software,Lost,371.93,2024-05-15,5,2,May
DL-00244,Company_0065,Sarah K.,Software,Won,609.625,2024-01-06,1,1,Jan
DL-00245,Company_0404,Marcus T.,Services,Lost,473.49,2024-12-04,12,4,Dec
DL-00246,Company_0574,Dana W.,Hardware,Open,466.1,2024-06-05,6,2,Jun
DL-00247,Company_0434,Marcus T.,Support,Lost,96471.18,2024-12-18,12,4,Dec
DL-00248,Company_0227,James L.,Software,Won,250.0,2024-12-17,12,4,Dec
DL-00249,Company_0475,Marcus T.,Software,Won,2367.28,2024-11-07,11,4,Nov
DL-00250,Company_0467,Marcus T.,Software,Open,466.17,2024-04-17,4,2,Apr
DL-00251,Company_0100,James L.,Software,Won,487.1,2024-05-20,5,2,May
DL-00252,Company_0422,Priya N.,Services,Open,441.92,2024-11-06,11,4,Nov
DL-00253,Company_0355,Priya N.,Services,Won,609.625,2024-04-25,4,2,Apr
DL-00254,Company_0138,Sarah K.,Support,Won,519.28,2024-03-02,3,1,Mar
DL-00255,Company_0630,Sarah K.,Services,Lost,2849.27,2024-07-22,7,3,Jul
DL-00256,Company_0568,Sarah K.,Services,Won,74878.21,2024-12-07,12,4,Dec
DL-00257,Company_0130,Marcus T.,Hardware,Won,378.32,2024-09-11,9,3,Sep
DL-00258,Company_0548,James L.,Hardware,Won,190.48,2024-07-27,7,3,Jul
DL-00259,Company_0467,Marcus T.,Services,Lost,378.13,2024-02-05,2,1,Feb
DL-00260,Company_0479,Priya N.,Hardware,Won,2036.55,2024-08-12,8,3,Aug
DL-00261,Company_0110,James L.,Services,Won,2940.23,2024-12-27,12,4,Dec
DL-00262,Company_0152,Sarah K.,Hardware,Open,582.48,2024-02-21,2,1,Feb
DL-00263,Company_0761,James L.,Software,Won,368.44,2024-07-08,7,3,Jul
DL-00264,Company_0241,Dana W.,Software,Won,1805.99,2024-11-16,11,4,Nov
DL-00265,Company_0719,Sarah K.,Hardware,Lost,495.13,2024-09-27,9,3,Sep
DL-00266,Company_0681,Sarah K.,Services,Won,681.14,2024-09-11,9,3,Sep
DL-00267,Company_0768,Sarah K.,Services,Won,417.37,2024-09-13,9,3,Sep
DL-00268,Company_0278,James L.,Hardware,Open,274.7,2024-05-11,5,2,May
DL-00269,Company_0362,Sarah K.,Software,Lost,2524.17,2024-04-17,4,2,Apr
DL-00270,Company_0624,Priya N.,Services,Won,2333.97,2024-10-22,10,4,Oct
DL-00271,Company_0407,Marcus T.,Support,Lost,361.29,2024-10-22,10,4,Oct
DL-00272,Company_0174,Unassigned,Hardware,Won,500.93,2024-11-12,11,4,Nov
DL-00273,Company_0600,Unassigned,Hardware,Won,547.45,2024-11-29,11,4,Nov
DL-00274,Company_0134,Dana W.,Hardware,Open,522.05,2024-07-05,7,3,Jul
DL-00275,Company_0505,Sarah K.,Support,Won,415.07,2024-07-02,7,3,Jul
DL-00276,Company_0293,Sarah K.,Hardware,Open,316.18,2024-10-18,10,4,Oct
DL-00277,Company_0494,Sarah K.,Software,Won,390.25,2024-08-25,8,3,Aug
DL-00278,Company_0418,Marcus T.,Software,Won,455.03,2024-09-13,9,3,Sep
DL-00279,Company_0205,Marcus T.,Services,Won,508.99,2024-10-17,10,4,Oct
DL-00280,Company_0317,Dana W.,Software,Won,1876.74,2024-11-20,11,4,Nov
DL-00281,Company_0072,James L.,Software,Lost,354.41,2024-05-03,5,2,May
DL-00282,Company_0258,Sarah K.,Support,Lost,2353.7,2024-05-17,5,2,May
DL-00283,Company_0357,James L.,Services,Lost,503.21,2024-02-04,2,1,Feb
DL-00284,Company_0147,Sarah K.,Hardware,Lost,445.55,2024-07-30,7,3,Jul
DL-00285,Company_0224,Sarah K.,Services,Lost,299.66,2024-01-14,1,1,Jan
DL-00286,Company_0104,James L.,Services,Open,1892.48,2024-06-18,6,2,Jun
DL-00287,Company_0555,Dana W.,Software,Won,1719.08,2024-07-17,7,3,Jul
DL-00288,Company_0355,Sarah K.,Support,Open,1991.69,2024-04-14,4,2,Apr
DL-00289,Company_0537,James L.,Software,Won,148.82,2024-08-03,8,3,Aug
DL-00290,Company_0260,James L.,Services,Lost,1567.7,2024-01-12,1,1,Jan
DL-00291,Company_0570,Sarah K.,Software,Open,461.37,2024-01-14,1,1,Jan
DL-00292,Company_0572,Unassigned,Software,Won,472.81,2024-10-27,10,4,Oct
DL-00293,Company_0069,Priya N.,Software,Won,270.78,2024-05-11,5,2,May
DL-00294,Company_0446,James L.,Services,Open,488.5,2024-02-16,2,1,Feb
DL-00295,Company_0446,Marcus T.,Support,Won,3204.92,2024-07-09,7,3,Jul
DL-00296,Company_0782,Sarah K.,Services,Open,209.88,2024-10-08,10,4,Oct
DL-00297,Company_0256,Priya N.,Services,Won,570.91,2024-03-19,3,1,Mar
DL-00298,Company_0636,Priya N.,Support,Lost,609.625,2024-08-15,8,3,Aug
DL-00299,Company_0530,Marcus T.,Hardware,Open,352.47,2024-02-01,2,1,Feb
DL-00300,Company_0118,Sarah K.,Hardware,Won,2568.26,2024-01-19,1,1,Jan
DL-00301,Company_0065,Unassigned,Services,Won,158.17,2024-07-12,7,3,Jul
DL-00302,Company_0244,Priya N.,Hardware,Won,609.625,2024-07-16,7,3,Jul
DL-00303,Company_0056,James L.,Services,Won,2897.36,2024-08-20,8,3,Aug
DL-00304,Company_0043,Dana W.,Software,Won,376.71,2024-09-22,9,3,Sep
DL-00305,Company_0523,James L.,Software,Open,553.42,2024-12-22,12,4,Dec
DL-00306,Company_0423,Dana W.,Software,Open,233.94,2024-07-07,7,3,Jul
DL-00307,Company_0747,Dana W.,Software,Lost,328.39,2024-04-27,4,2,Apr
DL-00308,Company_0535,Priya N.,Hardware,Open,298.0,2024-10-17,10,4,Oct
DL-00309,Company_0394,Priya N.,Hardware,Lost,2035.09,2024-04-08,4,2,Apr
DL-00310,Company_0449,Priya N.,Support,Lost,2172.24,2024-06-09,6,2,Jun
DL-00311,Company_0256,Priya N.,Services,Lost,2268.46,2024-01-29,1,1,Jan
DL-00312,Company_0795,Sarah K.,Hardware,Won,358.36,2024-01-10,1,1,Jan
DL-00313,Company_0360,Marcus T.,Software,Won,88721.37,2024-12-17,12,4,Dec
DL-00314,Company_0762,Sarah K.,Services,Won,602.32,2024-11-01,11,4,Nov
